project_id,state,constituency_type,project_category,estimated_cost,sanctioned_amount,expected_duration_days,elapsed_days,progress_pct,contractor_id,contractor_past_delays,monsoon_overlap_days,material_inflation_index,labor_shortage_index,terrain_difficulty,sanction_year,actual_final_cost,actual_delay_days
MPLADS-0001,Maharashtra,RAJYA_SABHA,Other Public Assets,39048169.75,38236848.25,445,300,64.33,CTR-016,12,80,1.1817,0.1768,PLAIN,2025,50751456.22,124.27
MPLADS-0002,Bihar,LOK_SABHA,Sports Infrastructure,24952545.55,22019755.67,387,83,43.4,CTR-036,1,69,1.1864,0.0228,PLAIN,2023,27809837.56,65.41
MPLADS-0003,Meghalaya,LOK_SABHA,Other Public Assets,16912665.37,15731621.82,473,311,63.64,CTR-073,7,92,1.2189,0.4812,HILLY,2024,25451614.56,117.34
MPLADS-0004,Himachal Pradesh,LOK_SABHA,Roads,40508447.87,35618459.37,181,259,100.0,CTR-125,13,43,0.968,0.6351,HILLY,2025,43537013.11,143.88
MPLADS-0005,Mizoram,RAJYA_SABHA,Healthcare,5176100.07,5107244.49,261,102,20.71,CTR-190,4,47,1.1898,1.0,HILLY,2024,8278287.3,121.54
MPLADS-0006,Ladakh,LOK_SABHA,Roads,6530708.98,6051240.54,508,529,81.72,CTR-084,13,15,0.9995,1.0,HILLY,2025,7952704.91,128.0
MPLADS-0007,Lakshadweep,LOK_SABHA,Other Public Assets,5741921.49,4794991.93,427,268,100.0,CTR-034,8,54,0.9571,0.1091,COASTAL,2024,5076750.81,68.73
MPLADS-0008,Chhattisgarh,LOK_SABHA,Healthcare,22967895.66,19797404.84,211,75,19.09,CTR-169,5,0,0.9921,0.2666,HILLY,2025,23825069.8,66.6
MPLADS-0009,Sikkim,LOK_SABHA,Sanitation,1546826.81,1258883.22,177,46,17.66,CTR-086,11,25,1.0772,0.7045,HILLY,2023,1780890.84,101.85
MPLADS-0010,Telangana,LOK_SABHA,Community Halls,26425770.96,21812306.37,132,165,100.0,CTR-081,15,0,0.9896,0.8436,PLAIN,2024,24878821.99,99.42
MPLADS-0011,Uttarakhand,LOK_SABHA,Sanitation,23408568.6,20980453.35,399,383,100.0,CTR-013,11,62,1.0966,0.5275,HILLY,2025,30186579.45,135.94
MPLADS-0012,West Bengal,LOK_SABHA,Healthcare,40317395.48,37623410.06,435,413,84.48,CTR-036,1,69,1.1958,0.0951,COASTAL,2025,54988678.91,44.31
MPLADS-0013,Manipur,RAJYA_SABHA,Community Halls,13042476.02,12357993.49,112,16,18.97,CTR-026,10,37,1.2556,0.9992,HILLY,2025,21662078.42,126.11
MPLADS-0014,Nagaland,LOK_SABHA,Sports Infrastructure,17015069.04,17433497.44,458,524,100.0,CTR-160,12,47,1.1252,0.5833,HILLY,2025,26724709.09,134.57
MPLADS-0015,Telangana,RAJYA_SABHA,Other Public Assets,42601417.12,40866196.26,145,26,41.99,CTR-007,1,10,1.1317,1.0,DESERT,2023,55906646.74,51.4
MPLADS-0016,Punjab,RAJYA_SABHA,Sanitation,41926380.69,34656551.01,390,585,90.06,CTR-028,13,41,1.0072,0.7768,COASTAL,2024,43489480.53,114.84
MPLADS-0017,Chandigarh,RAJYA_SABHA,Sports Infrastructure,3332981.04,3333784.16,526,732,100.0,CTR-170,0,46,1.1518,0.7452,PLAIN,2025,4346912.65,60.85
MPLADS-0018,Bihar,RAJYA_SABHA,Bridges,31007294.01,25134129.21,188,250,72.54,CTR-083,2,67,1.2636,0.8364,HILLY,2023,42283675.81,105.72
MPLADS-0019,Jharkhand,RAJYA_SABHA,Sports Infrastructure,20499702.34,18829841.33,148,26,18.61,CTR-190,4,48,1.2039,0.4118,PLAIN,2024,25384909.75,43.08
MPLADS-0020,Nagaland,LOK_SABHA,Drinking Water,35249107.96,33909187.87,354,347,100.0,CTR-050,12,49,1.1551,0.9367,HILLY,2024,53068747.34,138.95
MPLADS-0021,Odisha,LOK_SABHA,Electrification,42178663.95,34328876.28,125,52,48.41,CTR-098,10,37,0.9559,0.8272,PLAIN,2023,34886094.2,48.68
MPLADS-0022,Odisha,RAJYA_SABHA,Other Public Assets,34539419.93,33722617.62,429,249,59.53,CTR-067,14,68,1.2845,0.9891,COASTAL,2024,55548190.1,144.72
MPLADS-0023,Kerala,RAJYA_SABHA,Roads,7958312.2,6726617.46,200,273,100.0,CTR-127,1,88,0.9836,0.4437,HILLY,2024,8055633.7,102.09
MPLADS-0024,Uttarakhand,LOK_SABHA,Healthcare,24387339.18,24196066.77,400,512,98.69,CTR-087,1,66,1.1626,0.305,HILLY,2025,35590589.6,91.96
MPLADS-0025,Jharkhand,RAJYA_SABHA,Roads,30124620.98,24154783.09,277,115,28.02,CTR-106,12,36,1.141,0.7614,PLAIN,2024,32708517.38,130.32
MPLADS-0026,Odisha,LOK_SABHA,Bridges,48505848.28,50744127.38,159,68,70.09,CTR-195,15,18,0.9995,0.2409,HILLY,2025,64256751.81,120.82
MPLADS-0027,Assam,LOK_SABHA,Bridges,46272732.53,46533977.86,197,10,0.0,CTR-191,10,43,1.2353,0.7737,PLAIN,2025,67639677.81,99.48
MPLADS-0028,Himachal Pradesh,LOK_SABHA,Electrification,1965560.81,1769670.84,405,544,100.0,CTR-051,12,62,1.1861,0.5969,HILLY,2025,2790701.31,100.61
MPLADS-0029,Meghalaya,RAJYA_SABHA,Electrification,7272653.26,6863333.66,174,261,80.94,CTR-147,0,50,1.1488,0.3344,HILLY,2024,10260244.16,58.36
MPLADS-0030,Delhi,LOK_SABHA,Healthcare,27272403.53,23757951.21,246,331,74.42,CTR-113,8,42,1.2114,0.4994,DESERT,2025,35401943.64,91.54
MPLADS-0031,Jharkhand,RAJYA_SABHA,Bridges,49737736.57,48178427.16,205,250,92.49,CTR-054,7,0,1.0241,0.5622,PLAIN,2024,55936719.68,64.08
MPLADS-0032,Ladakh,LOK_SABHA,Other Public Assets,3743756.48,3420967.78,208,161,94.1,CTR-010,1,6,0.9742,0.8982,HILLY,2023,4080034.33,63.07
MPLADS-0033,Manipur,LOK_SABHA,Electrification,16988160.97,15422391.99,338,396,84.67,CTR-106,12,47,1.0413,0.5307,HILLY,2024,21306498.77,112.15
MPLADS-0034,Kerala,RAJYA_SABHA,Sanitation,2048533.89,1695484.16,408,380,100.0,CTR-018,2,91,1.1976,0.1627,PLAIN,2023,2264555.5,95.82
MPLADS-0035,Jammu and Kashmir,LOK_SABHA,Other Public Assets,40061069.35,38065366.28,223,72,41.82,CTR-128,12,33,1.0162,0.9252,HILLY,2024,53240574.43,125.3
MPLADS-0036,West Bengal,RAJYA_SABHA,Sanitation,49592836.56,39723956.37,506,12,29.33,CTR-116,9,73,1.1987,0.2732,PLAIN,2024,54201242.85,79.02
MPLADS-0037,Arunachal Pradesh,LOK_SABHA,Community Halls,30733121.6,28839506.76,326,194,65.2,CTR-107,12,40,1.1177,0.7146,HILLY,2024,42672883.17,119.06
MPLADS-0038,Telangana,RAJYA_SABHA,Healthcare,9332867.21,7931868.5,504,650,100.0,CTR-049,10,51,1.1568,0.7417,PLAIN,2025,10150126.35,80.18
MPLADS-0039,Delhi,LOK_SABHA,Bridges,1645434.68,1719160.29,535,302,82.75,CTR-187,2,38,1.1137,0.6018,PLAIN,2025,2113141.96,42.55
MPLADS-0040,Kerala,RAJYA_SABHA,Sanitation,12558038.9,10357005.56,303,342,100.0,CTR-069,1,85,1.0538,0.2452,HILLY,2025,13262569.89,103.06
MPLADS-0041,Chhattisgarh,RAJYA_SABHA,Education,49236146.11,51480904.27,250,358,83.6,CTR-083,2,59,1.1967,0.5424,COASTAL,2025,73818015.65,67.25
MPLADS-0042,Uttarakhand,LOK_SABHA,Education,38731472.89,32987726.45,362,512,100.0,CTR-047,7,61,1.1154,0.6499,HILLY,2025,47494556.54,130.72
