project_id,estimated_cost,sanctioned_amount,funds_released,expenditure,current_progress_pct,project_duration_days,days_elapsed,is_anomaly_injected,anomaly_type_injected
MPLADS-2026-0189,19561000.0,18609000.0,10750951.86,9782017.06,53,201,116,0,none
MPLADS-2026-0059,23282000.0,22967000.0,16220527.37,16220527.37,80,271,212,0,none
MPLADS-2026-0329,16496000.0,16299000.0,14205771.46,13817970.46,88,577,489,0,none
MPLADS-2026-0312,12135000.0,10942000.0,8116037.44,8116037.44,87,429,345,0,none
MPLADS-2026-0345,20727000.0,20233000.0,3034950.0,1692092.61,9,700,84,0,none
MPLADS-2026-0353,3818000.0,3681000.0,3008549.75,2638628.54,79,520,384,0,none
MPLADS-2026-0121,22758000.0,21159000.0,12794825.92,12794825.92,68,692,440,0,none
MPLADS-2026-0129,13730000.0,12958000.0,1943700.0,746520.82,6,702,41,0,none
MPLADS-2026-0176,10503000.0,9600000.0,6611744.45,5495960.9,66,128,78,0,none
MPLADS-2026-0002,17079000.0,16895000.0,14135531.24,12126461.43,84,179,152,0,none
MPLADS-2026-0402,2510000.0,2298000.0,1727108.52,1516672.36,73,247,190,0,none
MPLADS-2026-0226,11572000.0,10481000.0,1572150.0,1572150.0,17,383,40,0,none
MPLADS-2026-0078,20201000.0,19587000.0,2938050.0,1354116.59,7,565,52,0,none
MPLADS-2026-0195,16540000.0,16338000.0,5338142.19,5338142.19,35,654,221,0,none
MPLADS-2026-0410,11718000.0,10705000.0,5399652.9,5399652.9,56,96,51,0,none
MPLADS-2026-0443,7656000.0,7101000.0,2907244.81,2217808.4,34,640,296,0,none
MPLADS-2026-0207,10786000.0,10075000.0,3801657.14,3602964.85,37,468,160,0,none
MPLADS-2026-0142,12321000.0,11671000.0,2904658.06,2904658.06,35,557,149,0,none
MPLADS-2026-0190,1562000.0,1528000.0,747610.61,623099.47,41,623,309,0,none
MPLADS-2026-0415,9443000.0,9379000.0,8452066.92,8452066.92,97,294,280,0,none
MPLADS-2026-0143,12952000.0,12796000.0,6201220.68,4255630.1,34,161,71,0,none
MPLADS-2026-0119,4217000.0,4137000.0,780869.45,646191.92,18,401,44,0,none
MPLADS-2026-0218,11174000.0,10504000.0,6925118.15,5961059.15,59,170,102,0,none
MPLADS-2026-0446,18115000.0,17293000.0,4111552.41,3934714.01,24,525,105,0,none
MPLADS-2026-0169,21973000.0,20580000.0,10644399.15,8228819.99,45,603,280,0,none
MPLADS-2026-0432,609000.0,561000.0,561000.0,404976.38,84,375,361,0,none
MPLADS-2026-0434,6928000.0,6833000.0,3587592.46,3539035.81,55,630,321,0,none
MPLADS-2026-0487,3243000.0,3211000.0,2855999.7,3910718.69,54,351,309,1,expenditure_exceeds_sanction
MPLADS-2026-0485,13503000.0,12390000.0,10835982.94,14488819.5,50,186,180,1,expenditure_exceeds_sanction
MPLADS-2026-0036,23120000.0,21833000.0,3274950.0,1746452.01,8,653,101,0,none
MPLADS-2026-0153,9810000.0,9140000.0,7933692.73,7076524.36,90,589,555,0,none
MPLADS-2026-0005,20243000.0,19632000.0,5327354.01,5327354.01,31,438,143,0,none
MPLADS-2026-0427,5568000.0,5280000.0,862840.57,604780.38,12,577,100,0,none
MPLADS-2026-0017,3889000.0,3692000.0,570781.5,484019.7,15,138,29,0,none
MPLADS-2026-0216,17883000.0,16842000.0,7170523.75,7170523.75,55,207,104,0,none
MPLADS-2026-0475,21958000.0,20213000.0,13832982.0,13832982.0,83,711,522,0,none
MPLADS-2026-0386,7524000.0,7149000.0,2032406.65,2032406.65,36,530,184,0,none
MPLADS-2026-0065,14724000.0,14700000.0,3417833.27,3417833.27,27,129,28,0,none
MPLADS-2026-0220,5251000.0,5133000.0,4640492.26,4082407.41,84,449,373,0,none
MPLADS-2026-0455,15881000.0,14889000.0,14889000.0,13510467.35,94,167,163,0,none
MPLADS-2026-0160,4370000.0,4126000.0,2670854.36,2670854.36,72,443,301,0,none
MPLADS-2026-0393,22245000.0,21078000.0,3699062.54,1316192.88,7,137,20,0,none
MPLADS-2026-0322,12481000.0,11832000.0,4613029.05,4613029.05,46,663,281,0,none
MPLADS-2026-0324,4089000.0,3697000.0,2186298.41,2186298.41,65,170,89,0,none
MPLADS-2026-0094,18851000.0,17064000.0,4790197.27,3960970.59,24,448,115,0,none
MPLADS-2026-0440,11550000.0,10457000.0,1568550.0,522850.0,5,457,5,0,none
MPLADS-2026-0387,4148000.0,3813000.0,1762364.82,1459396.94,43,629,259,0,none
MPLADS-2026-0333,24072000.0,23894000.0,3584100.0,1194700.0,5,128,3,0,none
MPLADS-2026-0100,15006000.0,14752000.0,2778622.02,1848915.9,14,338,53,0,none
MPLADS-2026-0366,10502000.0,9767000.0,9655351.14,9259888.62,97,278,276,0,none
MPLADS-2026-0481,8643000.0,8394000.0,7457455.28,7036871.96,7,455,405,1,high_expenditure_low_progress
MPLADS-2026-0325,18810000.0,17332000.0,8717669.76,6120579.27,37,641,278,0,none
MPLADS-2026-0454,17929000.0,17621000.0,7980728.22,7980728.22,54,492,251,0,none
MPLADS-2026-0204,15420000.0,14892000.0,2233800.0,1422788.85,10,363,15,0,none
MPLADS-2026-0224,21674000.0,20866000.0,8222050.23,7074461.8,37,244,113,0,none
MPLADS-2026-0227,2712000.0,2602000.0,1310200.5,1266226.91,49,483,237,0,none
MPLADS-2026-0479,15637000.0,14407000.0,14241320.95,12267016.39,6,214,91,1,high_expenditure_low_progress
MPLADS-2026-0118,3295000.0,2987000.0,448050.0,170790.86,6,593,76,0,none
MPLADS-2026-0430,14216000.0,14157000.0,9298986.91,6587503.54,53,327,208,0,none
MPLADS-2026-0362,20487000.0,19937000.0,14498291.86,14498291.86,80,416,296,0,none
MPLADS-2026-0084,3890000.0,3591000.0,2477807.3,2293073.01,70,246,181,0,none
MPLADS-2026-0075,5379000.0,4854000.0,3569878.64,2623844.77,56,340,244,0,none
MPLADS-2026-0185,6208000.0,6068000.0,910200.0,303400.0,5,700,3,0,none
MPLADS-2026-0498,16952000.0,16744000.0,12640227.63,8796576.81,0,371,105,1,zero_progress_high_release
MPLADS-2026-0098,19556000.0,17921000.0,2688150.0,2659475.71,15,408,56,0,none
MPLADS-2026-0186,24694000.0,23559000.0,5617779.96,5230225.83,26,268,57,0,none
MPLADS-2026-0269,2434000.0,2337000.0,1221056.14,1047549.44,52,274,151,0,none
MPLADS-2026-0409,2385000.0,2207000.0,2070000.21,1976093.29,95,342,321,0,none
MPLADS-2026-0314,19681000.0,19240000.0,7292659.43,7034838.79,39,681,234,0,none
MPLADS-2026-0439,24998000.0,23885000.0,10588064.51,8571724.62,40,591,296,0,none
MPLADS-2026-0493,13793000.0,12486000.0,11082371.36,1463753.88,11,314,300,1,severe_progress_mismatch
MPLADS-2026-0230,24568000.0,22318000.0,3347700.0,2452294.0,12,266,21,0,none
MPLADS-2026-0339,23428000.0,21101000.0,5117309.6,5117309.6,28,482,121,0,none
MPLADS-2026-0109,12470000.0,12168000.0,10506561.34,9233102.43,89,577,503,0,none
MPLADS-2026-0310,8535000.0,8205000.0,7118338.15,6149650.5,78,256,202,0,none
MPLADS-2026-0240,12938000.0,12343000.0,1851450.0,1332556.21,11,629,39,0,none
MPLADS-2026-0132,13215000.0,12478000.0,4094959.88,2855536.48,25,374,93,0,none
MPLADS-2026-0254,23536000.0,22615000.0,5928767.68,5608087.82,28,523,114,0,none
MPLADS-2026-0280,22518000.0,21269000.0,21269000.0,20164860.04,95,179,175,0,none
MPLADS-2026-0321,7336000.0,6821000.0,2785823.73,2471546.21,38,394,148,0,none
MPLADS-2026-0060,8639000.0,8579000.0,2948837.96,2948837.96,46,344,137,0,none
MPLADS-2026-0451,13700000.0,12773000.0,5041134.11,4819082.36,38,389,149,0,none
MPLADS-2026-0095,16468000.0,16063000.0,5695428.36,4242175.62,28,343,103,0,none
MPLADS-2026-0375,16394000.0,15260000.0,9697512.09,9697512.09,70,458,263,0,none
MPLADS-2026-0260,6714000.0,6054000.0,3137961.2,3137961.2,61,159,89,0,none
MPLADS-2026-0273,18873000.0,17288000.0,3679091.83,3679091.83,23,121,19,0,none
MPLADS-2026-0389,6034000.0,5843000.0,5843000.0,5536149.99,100,172,168,0,none
MPLADS-2026-0135,10311000.0,10064000.0,4012078.98,3663522.74,41,127,59,0,none
MPLADS-2026-0379,20917000.0,19870000.0,6866793.34,6866793.34,43,435,132,0,none
MPLADS-2026-0422,24598000.0,23805000.0,23805000.0,23682583.18,100,499,496,0,none
MPLADS-2026-0050,14088000.0,13992000.0,2098800.0,963237.03,7,196,35,0,none
MPLADS-2026-0495,6540000.0,6399000.0,3938569.64,3347423.22,0,578,423,1,zero_progress_high_release
MPLADS-2026-0369,23095000.0,22742000.0,17873700.88,15185172.36,76,184,138,0,none
MPLADS-2026-0117,12000000.0,11329000.0,1699350.0,1109401.89,10,278,27,0,none
MPLADS-2026-0408,12582000.0,11403000.0,5887920.09,5470817.79,52,535,283,0,none
MPLADS-2026-0398,2893000.0,2671000.0,1452417.97,1452417.97,61,167,88,0,none
MPLADS-2026-0268,12689000.0,12593000.0,6163108.98,4347889.3,36,621,274,0,none
MPLADS-2026-0492,5717000.0,5669000.0,4365840.43,736120.97,10,363,323,1,severe_progress_mismatch
MPLADS-2026-0193,7238000.0,6972000.0,3433469.06,3406495.25,52,651,333,0,none
MPLADS-2026-0040,19692000.0,19026000.0,4200785.21,4200785.21,28,588,159,0,none
MPLADS-2026-0292,22599000.0,21102000.0,3165300.0,1055100.0,5,667,43,0,none
MPLADS-2026-0130,15291000.0,13801000.0,12758106.68,10360940.66,88,324,295,0,none
MPLADS-2026-0277,3279000.0,3192000.0,2762501.83,2683916.0,90,601,531,0,none
MPLADS-2026-0472,22467000.0,20535000.0,15111204.17,10381037.89,56,216,151,0,none
MPLADS-2026-0210,5781000.0,5499000.0,2400938.71,2400938.71,73,443,221,0,none
MPLADS-2026-0376,20169000.0,19609000.0,4531862.43,3755884.34,21,417,105,0,none
MPLADS-2026-0213,3440000.0,3267000.0,915715.12,915715.12,40,530,180,0,none
MPLADS-2026-0004,13851000.0,12771000.0,5884420.68,5433899.67,50,693,285,0,none
MPLADS-2026-0205,8070000.0,7537000.0,2330274.84,1197939.73,17,96,24,0,none
MPLADS-2026-0138,19120000.0,17597000.0,4847671.83,3061637.07,19,652,135,0,none
MPLADS-2026-0438,14583000.0,13742000.0,13302587.16,11059158.44,85,588,551,0,none
MPLADS-2026-0131,19237000.0,18893000.0,2833950.0,944650.0,5,680,42,0,none
MPLADS-2026-0435,14882000.0,13912000.0,5111302.49,5111302.49,41,558,177,0,none
MPLADS-2026-0482,10715000.0,9861000.0,9320066.34,12204270.48,87,259,227,1,expenditure_exceeds_sanction
MPLADS-2026-0257,11016000.0,10592000.0,9095081.63,9095081.63,95,336,293,0,none
MPLADS-2026-0261,3040000.0,2913000.0,436950.0,271463.07,10,430,69,0,none
MPLADS-2026-0266,21712000.0,20261000.0,18712725.88,17334865.66,87,217,205,0,none
MPLADS-2026-0453,23010000.0,22993000.0,20245116.12,15507932.49,76,219,180,0,none
MPLADS-2026-0179,20925000.0,20121000.0,3018150.0,1006050.0,5,376,17,0,none
MPLADS-2026-0214,6138000.0,5867000.0,880050.0,676798.02,12,452,37,0,none
MPLADS-2026-0458,21328000.0,20892000.0,6272879.11,3254897.21,16,497,112,0,none
MPLADS-2026-0149,16474000.0,15077000.0,2261550.0,2261550.0,17,127,17,0,none
MPLADS-2026-0467,3455000.0,3407000.0,1628543.26,1628543.26,58,225,123,0,none
MPLADS-2026-0276,14561000.0,13876000.0,4827091.02,4309949.59,35,497,161,0,none
MPLADS-2026-0341,6289000.0,6080000.0,3052718.11,2954786.56,51,566,315,0,none
MPLADS-2026-0074,16764000.0,16126000.0,5763062.1,5763062.1,42,185,61,0,none
MPLADS-2026-0051,18689000.0,17111000.0,13240604.13,12956499.1,84,378,310,0,none
MPLADS-2026-0293,1614000.0,1556000.0,660025.32,540578.96,36,680,272,0,none
MPLADS-2026-0025,23700000.0,21533000.0,4251292.97,1802129.79,9,587,71,0,none
MPLADS-2026-0200,16801000.0,16381000.0,8799748.3,6654553.84,45,142,74,0,none
MPLADS-2026-0429,17090000.0,15662000.0,11427362.19,11427362.19,85,339,265,0,none
MPLADS-2026-0264,5387000.0,4871000.0,3080247.47,2794314.61,59,407,264,0,none
MPLADS-2026-0236,8085000.0,7581000.0,6969366.75,6969366.75,100,426,417,0,none
MPLADS-2026-0105,15016000.0,13998000.0,2099700.0,1541381.88,12,341,45,0,none
MPLADS-2026-0405,2696000.0,2576000.0,2369856.23,2144839.6,85,701,613,0,none
MPLADS-2026-0403,2742000.0,2726000.0,1959665.95,1604053.65,68,545,369,0,none
MPLADS-2026-0248,7484000.0,7307000.0,5048152.41,3759746.38,59,369,231,0,none
MPLADS-2026-0244,24157000.0,23636000.0,16185438.62,15700205.09,71,288,189,0,none
MPLADS-2026-0320,13562000.0,12947000.0,11223925.99,11063166.5,86,360,313,0,none
MPLADS-2026-0283,5424000.0,4957000.0,743550.0,649455.36,14,595,27,0,none
MPLADS-2026-0328,2963000.0,2895000.0,2384999.82,1998175.37,79,95,71,0,none
MPLADS-2026-0174,3154000.0,2912000.0,2204761.83,1958704.38,72,115,80,0,none
MPLADS-2026-0468,18404000.0,16752000.0,8743435.84,7437727.03,51,410,189,0,none
MPLADS-2026-0008,14025000.0,13786000.0,7244764.11,7244764.11,56,723,371,0,none
MPLADS-2026-0305,1753000.0,1676000.0,975814.68,928254.14,61,461,284,0,none
MPLADS-2026-0373,3374000.0,3374000.0,1554100.0,1554100.0,52,580,249,0,none
MPLADS-2026-0024,3241000.0,3035000.0,709350.74,655482.05,22,404,123,0,none
MPLADS-2026-0360,1323000.0,1270000.0,624489.46,462452.62,40,139,63,0,none
MPLADS-2026-0201,14659000.0,13505000.0,6078264.56,5119167.24,42,583,230,0,none
MPLADS-2026-0351,5839000.0,5298000.0,3745759.0,3404020.22,69,523,353,0,none
MPLADS-2026-0425,14920000.0,14175000.0,2126250.0,887383.89,7,443,13,0,none
MPLADS-2026-0390,1276000.0,1200000.0,708838.36,635384.21,56,476,283,0,none
MPLADS-2026-0088,20975000.0,20006000.0,20006000.0,17916121.0,97,649,618,0,none
MPLADS-2026-0449,18572000.0,17995000.0,16124775.24,14923828.59,88,714,648,0,none
MPLADS-2026-0444,18692000.0,18254000.0,13540721.2,12662887.39,80,652,524,0,none
MPLADS-2026-0271,11455000.0,11142000.0,8670169.46,7745060.21,78,451,315,0,none
MPLADS-2026-0217,20132000.0,19363000.0,2904450.0,968150.0,5,460,46,0,none
MPLADS-2026-0006,8747000.0,7953000.0,4313481.22,3515724.54,47,189,92,0,none
MPLADS-2026-0225,7919000.0,7345000.0,4555527.07,3885292.69,59,147,91,0,none
MPLADS-2026-0478,16940000.0,16155000.0,16037809.01,13582032.53,20,459,439,1,high_expenditure_low_progress
MPLADS-2026-0019,6660000.0,6362000.0,5767805.87,4967770.09,82,101,88,0,none
MPLADS-2026-0116,7657000.0,7614000.0,1817379.66,1425507.75,20,592,106,0,none
MPLADS-2026-0042,12820000.0,12631000.0,1894650.0,762169.32,7,251,15,0,none
MPLADS-2026-0234,24128000.0,23169000.0,6648339.52,6648339.52,31,243,86,0,none
MPLADS-2026-0148,8295000.0,7858000.0,3855498.16,2512387.15,33,480,198,0,none
MPLADS-2026-0123,6377000.0,6091000.0,913650.0,522647.45,9,250,1,0,none
MPLADS-2026-0374,10217000.0,9440000.0,8639206.12,8639206.12,100,419,398,0,none
MPLADS-2026-0233,2115000.0,1923000.0,502576.54,502576.54,30,485,146,0,none
MPLADS-2026-0463,21977000.0,19984000.0,4281233.0,4281233.0,24,459,129,0,none
MPLADS-2026-0194,7725000.0,7343000.0,1757533.87,764108.57,12,530,102,0,none
MPLADS-2026-0358,8981000.0,8330000.0,1249500.0,416500.0,5,205,9,0,none
MPLADS-2026-0354,21806000.0,21603000.0,3240450.0,1640564.45,8,474,42,0,none
