work_recommendation_dtl_id,constituency,work_category,sanction_amount,recommendation_date,sanction_date,rec_to_sanc_days,tenure_start_date,days_since_tenure_start,anomaly_score
139500.0,Diphu (ST),Normal/Others,5000000.0,2024-09-06,2026-07-31,693,2024-06-04,94,-0.23758933498818835
143526.0,MUMBAI NORTH,Normal/Others,4500000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.23169861656601998
150074.0,THOOTHUKKUDI,Normal/Others,3000000.0,2024-11-02,2026-05-21,565,2024-06-04,151,-0.22784232314515396
139022.0,BASIRHAT,Normal/Others,2765000.0,2024-09-05,2026-07-08,671,2024-06-04,93,-0.22784138832254097
144827.0,TIRUPPUR,Normal/Others,5295000.0,2024-09-30,2026-02-20,508,2024-06-04,118,-0.22389307116573876
146583.0,MUMBAI SOUTH,Normal/Others,2500000.0,2024-10-09,2026-05-18,586,2024-06-04,127,-0.22079386867103168
137433.0,BOLPUR(SC),Normal/Others,2651990.0,2024-08-28,2026-01-30,520,2024-06-04,85,-0.22045668728143775
138758.0,ERNAKULAM,Trust and Society,5000000.0,2024-09-04,2026-01-07,490,2024-06-04,92,-0.22031363145979121
166546.0,GUNTUR,Normal/Others,5000000.0,2025-01-19,2026-07-09,536,2024-06-04,229,-0.21865670709417107
152826.0,SRIPERUMBUDUR,Normal/Others,2500000.0,2024-11-16,2026-06-22,583,2024-06-04,165,-0.21831475851782345
157891.0,TIRUCHIRAPPALLI,Normal/Others,4800000.0,2024-12-10,2026-05-13,519,2024-06-04,189,-0.21769668128997177
160023.0,ARAKKONAM,Normal/Others,3400000.0,2024-12-19,2026-06-15,543,2024-06-04,198,-0.21573633587252006
152353.0,ROHTAK,Normal/Others,2100000.0,2024-11-14,2026-06-19,582,2024-06-04,163,-0.21318554326588413
136043.0,KANNIYAKUMARI,Normal/Others,2000000.0,2024-08-17,2026-01-13,514,2024-06-04,74,-0.21295237648521648
142039.0,BASIRHAT,Normal/Others,2660000.0,2024-09-20,2026-02-27,525,2024-06-04,108,-0.21208299000754793
